ind,logE,logED,logFreq
0,31.542958936592296,3.3300801913119584,0.013472423632876459
1,30.538768334934804,2.3258895896544645,0.026944847265752917
2,30.24570266239218,2.0328239171118425,0.04041727089862938
3,30.227385171307276,2.0145064260269363,0.053889694531505834
4,30.2042355429776,1.9913567976972595,0.0673621181643823
5,30.146066066118745,1.9331873208384054,0.08083454179725875
6,30.14546742354639,1.9325886782660515,0.09430696543013521
7,30.070614057689674,1.857735312409335,0.10777938906301167
8,29.902375634290323,1.6894968890099855,0.12125181269588813
9,29.901970036410365,1.6890912911300258,0.1347242363287646
10,29.89210122177861,1.67922247649827,0.14819665996164105
11,29.718772060964522,1.5058933156841816,0.1616690835945175
12,29.597734246891953,1.3848555016116157,0.17514150722739397
13,29.51581307251547,1.3029343272351326,0.18861393086027042
14,29.458825077624876,1.2459463323445392,0.20208635449314688
15,29.446721921696618,1.2338431764162803,0.21555877812602334
16,29.41258393897789,1.1997051936975511,0.2290312017588998
17,29.404514470312257,1.1916357250319194,0.24250362539177625
18,29.392241696315345,1.1793629510350048,0.2559760490246527
19,29.356224475539683,1.143345730259344,0.2694484726575292
20,29.336755141537736,1.1238763962573985,0.2829208962904056
21,29.324939449471685,1.1120607041913453,0.2963933199232821
22,29.259866127369804,1.0469873820894655,0.30986574355615853
23,29.234509888890756,1.0216311436104186,0.323338167189035
24,29.219292514192595,1.0064137689122559,0.33681059082191145
25,29.192128475971405,0.9792497306910658,0.35028301445478793
26,29.146822480972766,0.933943735692426,0.36375543808766436
27,29.09215199317349,0.8792732478931542,0.37722786172054085
28,29.038576643254178,0.825697897973839,0.39070028535341733
29,29.037892535899203,0.8250137906188665,0.40417270898629376
30,28.977059697605988,0.7641809523256506,0.41764513261917025
31,28.96500312687616,0.75212438159582,0.4311175562520467
32,28.797667888446433,0.5847891431660959,0.44458997988492316
33,28.542562443506647,0.3296836982263072,0.4580624035177996
34,27.730639285463337,-0.4822394598170009,0.4715348271506761
